order,trip_id,stop_index,stop_lat,stop_lon,gps_lat,gps_lon,gps_datetime,stop_time,dist_m,time_diff_s
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,13,-22.88283,-43.34025,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:06:55,15730.052348571946,-474.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,14,-22.882534,-43.33687,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:07:44,15395.903414085278,-523.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,15,-22.882382,-43.333901,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:08:27,15100.566824773681,-566.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,16,-22.882138,-43.331007,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:09:15,14815.166493286977,-614.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,17,-22.88256,-43.32373,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:10:56,14075.603297168147,-715.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,18,-22.88284,-43.3224,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:11:16,13935.861523509553,-735.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,19,-22.8835,-43.32058,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:11:44,13738.344590286226,-763.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,20,-22.88445,-43.31751,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:12:31,13408.993045222353,-810.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,21,-22.884744,-43.316116,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:12:52,13262.533738453149,-831.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,22,-22.88498,-43.31429,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:13:18,13074.0118570877,-857.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,23,-22.885103,-43.311568,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:13:57,12798.177913446889,-896.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,24,-22.88562,-43.30967,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:14:27,12596.110046007572,-926.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,25,-22.88672,-43.306443,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:15:16,12247.698783704407,-975.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,26,-22.88646,-43.30281,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:16:10,11889.13957821381,-1029.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,27,-22.88548,-43.30031,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:16:51,11662.256059435416,-1070.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,28,-22.884601,-43.297845,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:17:30,11438.5000362344,-1109.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,29,-22.88341,-43.29648,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:17:57,11334.57799716718,-1136.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,30,-22.88182,-43.29431,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:18:38,11165.16197009331,-1177.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,31,-22.8842,-43.29133,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:19:42,10801.746052116669,-1241.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,32,-22.885668,-43.290084,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:20:16,10637.937933250245,-1275.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,33,-22.88744,-43.2864,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:21:11,10224.814011189483,-1330.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,34,-22.887738,-43.283511,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:21:47,9929.244323654695,-1366.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,35,-22.887155,-43.280679,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:22:33,9663.185495680751,-1412.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,36,-22.88591,-43.27898,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:23:06,9530.31675220048,-1445.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,37,-22.88441,-43.27719,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:23:41,9399.959427336687,-1480.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,38,-22.8822,-43.2754,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:24:24,9299.004582515705,-1523.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,39,-22.881083,-43.272751,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:25:08,9082.97233380152,-1567.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,40,-22.878863,-43.265859,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:26:54,8514.26216567762,-1673.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,41,-22.87833,-43.26397,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:27:26,8359.92898056395,-1705.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,42,-22.878337,-43.261822,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:27:57,8158.637382648641,-1736.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,43,-22.880394,-43.259223,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:28:52,7822.385021033919,-1791.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,44,-22.882581,-43.254845,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:30:04,7314.143661295429,-1863.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,45,-22.88517,-43.25266,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:30:55,6996.951260506299,-1914.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,46,-22.886927,-43.250822,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:31:33,6750.4105410835455,-1952.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,47,-22.890046,-43.244457,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:33:33,6018.2603879691,-2072.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,48,-22.890765,-43.242335,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:34:04,5786.650920651385,-2103.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,49,-22.891768,-43.240794,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:34:28,5600.385180094963,-2127.0
